Nr. crt.,Adresa,Nr,Sector,Anul construirii,Regimul de inaltime,Numar de apartamente,Aria desfasurata,Anul Elaborarii Expertizei Tehnice,Expertul tehnic atestat pentru cerinţa esenţiala de calitate-rezistenţă mecanică şi stabilitate de către M.D.R.A.P.,Observatii,Clasa de risc seismic
49,Strada CĂDEREA BASTILIEI,5,Sector 1,1938,S+P+7E,41,3.457,1994,Gabriel NICULESCU,,1. CLASA I DE RISC SEISMIC
50,Strada CĂDEREA BASTILIEI,16,Sector 1,1937,S+P+3E+Ma,7,1.377,1995,Vladimir AMBROZIE,,1. CLASA I DE RISC SEISMIC
51,Strada CAIMATEI,18,Sector 2,1936,P+5E,13,2.073,1998,Rodica VASILESCU,,1. CLASA I DE RISC SEISMIC
52,Calea CĂLĂRAŞILOR,99 (corp A),Sector 3,1922,S+P,3,124,1993,Adina SIMION,Imobil propus pentru demolare,1. CLASA I DE RISC SEISMIC
53,Strada CĂLUSEI,4,Sector 2,1937,S+P+3E+Ma,6,1.2,1997,Nicolae CONSTANTINESCU,,1. CLASA I DE RISC SEISMIC
54,Strada CAMELIEI,3,Sector 1,1900,S+P+1E,4,145,1993,Constantin ARIENESCU,,1. CLASA I DE RISC SEISMIC
55,Strada CAMELIEI,4,Sector 1,1900,S+P+1E,4,114,1993,Constantin ARIENESCU,,1. CLASA I DE RISC SEISMIC
56,Strada CAMELIEI,7,Sector 1,1900,S+P+1E+Ma,5,242,1993,Constantin ARIENESCU,,1. CLASA I DE RISC SEISMIC
57,Strada CAMELIEI,30,Sector 1,1925,S+P+1E,7,466,1993,Mircea CONDRUT,,1. CLASA I DE RISC SEISMIC
58,Strada CAMELIEI,35,Sector 1,1920-1935,S+P+2E+Ma,12,1.792,2016,Niculae TEODOR,Încadrare în clasă de risc seismic în anul 2016. Propunerea expertului tehnic: demolarea clădirii.,1. CLASA I DE RISC SEISMIC
59,Bulevardul CAROL I,27,Sector 2,1910,S+P+2E+Ma,3,755,1993,Ion LUNGU,,1. CLASA I DE RISC SEISMIC
60,Bulevardul CAROL I,47,Sector 2,1934,P+8E,23,2.784,1993,Niculae TUDOSE,,1. CLASA I DE RISC SEISMIC
61,Bulevardul CAROL I,51,Sector 2,1929,S+Ds+P+7E,30,5.105,2001,Grigore ARSENIE,,1. CLASA I DE RISC SEISMIC
62,Bulevardul CAROL I,63,Sector 2,1937,S+P+5E+Ma,18,1.769,1993,Niculae TUDOSE,,1. CLASA I DE RISC SEISMIC
63,Bulevardul CAROL I,76,Sector 2,1939,P+8E,18,3.23,1994,Dan POPESCU,,1. CLASA I DE RISC SEISMIC
64,Bulevardul CAROL I,40÷42 (sc. A+B+C+D),Sector 2,1890,S+P+2E+Ma,0,693,2015,Octavian MĂNOIU,Sentința civilă nr.1677/2017 (Judecătoria Sectorului 2); Decizia definitivă nr.2947A/2017 (Tribunalul București - Secția a V-a Civilă),1. CLASA I DE RISC SEISMIC
65,Soseaua CHITILEI,73,Sector 1,1935,S+P+1E,2,275,1993,Constantin ARIENESCU,,1. CLASA I DE RISC SEISMIC
66,Strada COLŢEI,14,Sector 3,1900,S+P+3E,5,908,1995,Leonid NEAGOE,,1. CLASA I DE RISC SEISMIC
